ZIPCODE,median_familyIncome(USD),Estimate!!Number!!FAMILIES!!Families
83,,0
10001,126161.0250111657,2239
10002,40859.60795175654,14261
10003,189002.6698692287,7494
10004,,0
10006,206891.0,849
10007,164785.76497373029,2855
10009,60994.3483297934,5179
10010,250000.0,3721
10011,203811.385801542,9987
10012,174331.98793242156,3729
10013,159035.3760115607,3460
10014,228244.12513721184,2733
10016,196705.98143705013,7919
10017,204216.8111111111,3060
10018,168306.87451415882,1801
10019,189509.019698292,8021
10021,234973.79838542745,9662
10022,245647.23196392786,3992
10023,249101.51856017997,7112
10024,198861.08749575264,23544
10025,105094.01416231418,9956
10026,67567.15378507147,7556
10027,60087.65498297741,12924
10028,218838.19803529515,11503
10029,52670.8471849866,16039
10030,62336.514076576575,5328
10031,58697.58685581934,6908
10032,50491.53683294664,6896
10033,69898.61865082882,11281
10034,58337.6241937309,8837
10035,39881.11033482731,7586
10036,88224.81656804733,1521
10037,53343.639701104614,3078
10038,143391.44514435696,1905
10039,43896.92032011134,5748
10040,59404.03712807244,7730
10065,228092.46106399383,7782
10069,204694.0,1905
10075,141375.0,2216
10128,198360.6599085366,13120
10301,98309.29823551976,10428
10302,85532.38056680161,3952
10303,72924.33178423236,6025
10304,68079.88175750834,8990
10305,89842.26059099167,10457
10306,97382.67319288902,12769
10307,114765.31017491993,4059
10308,112161.0765801806,8749
10309,124125.03996101365,10260
10310,88081.4205743366,5502
10312,111725.13932417378,13465
10314,110186.04192013243,24165
10451,37019.71563629623,10789
10452,34924.28530877071,17262
10453,32775.24196706207,17366
10454,29765.626597131683,7670
10455,35002.366872908,9859
10456,36915.762883008356,20104
10457,39122.93831190025,15319
10458,39083.443770314196,18460
10459,34648.77505432421,11505
10460,33654.04774517321,14347
10461,68929.83033440841,11782
10462,60456.41420150939,18153
10463,70988.24959839358,14940
10465,79223.21874525292,6583
10466,67008.49239055552,15967
10467,45819.84177327647,22512
10468,41997.78634798038,19162
10469,75726.54061366292,16263
10470,80610.57416807671,3546
10471,121627.56856730422,5542
10472,41694.11811333115,15265
10473,51671.85860770648,12483
10474,28124.738884397735,2474
10475,72299.14994579268,11991
11001,95000.0,1190
11004,116945.28702363724,4146
11005,139313.0,379
11101,128286.55143338954,8895
11102,76750.7827537759,5694
11103,82076.49901094554,7583
11104,75255.14832199014,4261
11105,89699.34262010896,8076
11106,86778.89341538462,8125
11201,168148.42212189618,15062
11203,68990.07146171694,19395
11204,57174.09483650662,19328
11205,77598.5741784683,7273
11206,40114.050078740154,19050
11207,53166.62389618781,18572
11208,53088.39935982707,24056
11209,93392.58296390121,12632
11210,82485.05673718746,17678
11211,79070.18505477309,12780
11212,43256.90612846989,14914
11213,52616.931281704434,14785
11214,67443.40294090446,21626
11215,171347.5474183351,17082
11216,78649.98455220961,10228
11217,152444.52084866323,8154
11218,84813.50603621731,14910
11219,43034.424228952485,17995
11220,49116.25064463506,19003
11221,63668.27857688833,14391
11222,112423.88420005684,7038
11223,67650.3417739628,20970
11224,50643.06013649137,12455
11225,68076.2326625387,12920
11226,66867.85064366407,22838
11228,84256.1515054195,12455
11229,81019.32444180992,20244
11230,69902.29030536614,16865
11231,144916.02188081937,8592
11232,63146.268176400474,5873
11233,54349.82828119961,18606
11234,99033.60672908384,23391
11235,74803.20276642565,19086
11236,81498.96754817068,25638
11237,44055.53164080865,10635
11238,122785.83181527644,12516
11239,37381.661476644906,3982
11249,85452.88342440802,8784
11251,126250.0,55
11354,55316.54239348447,16453
11355,46328.81026032023,18362
11356,61297.27573529412,1360
11357,97852.60202484083,9581
11358,77470.37943925234,9095
11359,143906.0,671
11360,104950.0646542933,4903
11361,96101.0880623346,6802
11362,123445.41893039049,4712
11363,117810.39684813753,2094
11364,97263.06318537859,9575
11365,80529.43320537428,10420
11366,95897.08246106714,3917
11367,70366.16181292188,10370
11368,50858.94211932324,22460
11369,55474.67745821412,6641
11370,76831.8517145505,6474
11371,,0
11372,63570.863332183515,14495
11373,58477.82169180456,20487
11374,85533.76091402152,11247
11375,112464.50259645988,17909
11377,66705.77921939238,18729
11378,85611.20665687714,10215
11379,96093.76725736658,9706
11385,76321.69763123144,24232
11411,114243.13393939394,4950
11412,94838.04636096771,9879
11413,99596.90516301655,10091
11414,89058.52115752116,7326
11415,92559.00812207728,4063
11416,72781.5405027933,5728
11417,78261.91432125641,6431
11418,73507.10674093441,8797
11419,80490.07178995115,11464
11420,79927.15026817902,11373
11421,78430.95502559077,9183
11422,94293.6117330945,6699
11423,82062.62585716676,5979
11426,109791.93113885736,5286
11427,97111.64540596449,5801
11428,87327.47982901416,3743
11429,94257.406218317,5918
11430,,0
11432,74722.02427506825,13553
11433,67840.7216482603,8421
11434,84053.22500722334,13844
11435,73184.38179791976,13460
11436,81145.81848116897,4859
11691,62356.82081447964,14365
11692,72843.49072453623,2857
11693,70447.10256410256,1755
11694,122427.39284332689,5170
11697,123438.0,1006
